name	type	latitude	longitude	voivodeship
Babice	wieś	50.349444	22.925833	lubelskie
Babice	wieś	51.774444	19.239444	łódzkie
Babice	wieś	49.819167	22.477778	podkarpackie
Babice	wieś	50.070278	19.448889	małopolskie
Babice	wieś	50.051944	19.210556	małopolskie
Babice Nowe	wieś	52.242222	20.846667	mazowieckie
Babicha	wieś	50.382778	21.420278	podkarpackie
Babichy	wieś	51.639444	19.476389	łódzkie
Babiczki	wieś	51.778889	19.271111	łódzkie
Babidół	wieś	54.261667	18.441111	pomorskie
Babiec-Więczanki	wieś	52.905278	19.684167	mazowieckie
Babiec Piaseczny	wieś	52.894444	19.705556	mazowieckie
Babiec Rżały	wieś	52.900000	19.708611	mazowieckie
Babienica	wieś	50.622500	18.973611	śląskie
Babieniec	wieś	54.098889	21.187222	warmińsko-mazurskie
Babięta	wieś	53.673333	21.259722	warmińsko-mazurskie
Babięty Wielkie	wieś	53.658056	19.398333	warmińsko-mazurskie
Babigoszcz	wieś	53.680833	14.813056	zachodniopomorskie
Babiki	wieś	53.356944	23.697778	podlaskie
Babilon	wieś	51.151667	21.624444	mazowieckie
Babimost	miasto	52.164722	15.830278	lubuskie
Babin	wieś	51.151667	16.131944	dolnośląskie
Babin	wieś	52.331111	17.880000	wielkopolskie
Babin	wieś	53.233333	14.733611	zachodniopomorskie
Babin	wieś	51.333333	21.708611	mazowieckie
Babin	wieś	51.173611	22.346389	lubelskie
Babin-Olędry	wieś	52.341389	17.866111	wielkopolskie
Babina	wieś	51.441111	18.892500	łódzkie
Babinek	wieś	53.137500	14.546667	zachodniopomorskie
Babinek	wieś	53.259722	14.723333	zachodniopomorskie
Babino	wieś	53.159167	22.909167	podlaskie
Babki	wieś	52.314444	16.934722	wielkopolskie
Babki Gąseckie	wieś	53.902500	22.481389	warmińsko-mazurskie
Babki Oleckie	wieś	54.086111	22.505278	warmińsko-mazurskie
Babkowice	wieś	51.779444	17.150000	wielkopolskie
Baborowo	wieś	52.578056	16.655000	wielkopolskie
Baborów	miasto	50.156111	17.985833	opolskie
Baborówko	wieś	52.585556	16.630833	wielkopolskie
Baboszewo	wieś	52.681389	20.258333	mazowieckie
Babrosty	wieś	53.623056	21.880000	warmińsko-mazurskie
Babsk	wieś	51.838889	20.347500	łódzkie
Babsk	wieś	51.426667	23.129722	lubelskie
Babskie Budy	wieś	52.107500	20.270556	mazowieckie
Babule	wieś	50.398611	21.538611	podkarpackie
Baby	wieś	52.284167	19.057500	łódzkie
Baby	wieś	52.816389	20.600556	mazowieckie
Baby	wieś	51.531111	19.713056	łódzkie
Baby	wieś	50.963611	19.320833	śląskie
Baby Dolne	wieś	52.425556	19.361667	mazowieckie
Baby Górne	wieś	52.427222	19.340833	mazowieckie
